15,20,339.0
28,2,309.5
34,0,227.66666666666666
36,20,170.75
49,22,205.0
71,3,303.3333333333333
96,2,399.57142857142856
102,3,354.5
120,0,382.55555555555554
125,3,347.7
143,0,372.09090909090907
152,2,348.6666666666667
154,22,321.9230769230769
164,22,311.0
175,20,298.53333333333336
189,1,304.25
205,20,310.4117647058824
226,0,336.8333333333333
256,20,393.8421052631579
265,1,381.7
282,2,389.95238095238096
315,3,417.8181818181818
326,0,409.60869565217394
336,20,398.8333333333333
357,2,412.4
375,20,417.46153846153845
381,2,403.77777777777777
392,1,395.14285714285717
404,2,387.48275862068965
420,2,387.03333333333336
422,22,374.5806451612903
443,20,387.625
466,2,399.09090909090907
488,0,418.88235294117646
492,0,407.65714285714284
501,3,398.4166666666667
523,22,411.97297297297297
532,1,404.1842105263158
550,20,404.35897435897436
567,2,405.2
569,22,395.4146341463415
586,22,399.8095238095238
604,1,404.83720930232556
608,20,395.90909090909093
627,20,399.68888888888887
642,0,402.04347826086956
685,1,501.8510638297872
716,0,522.9166666666666
728,20,515.5714285714286
739,3,509.22
